cup,region,maturity,category,amount_eur,award_amount_eur,has_amount,has_award_amount,has_published_at,has_awarded_at,has_cig,has_procedure,has_contract_type,is_direct,is_works,is_framework
B23C22000300006,Sicilia,Concluso,ASILI NIDO,450491.39,327998.95,1,1,1,1,1,1,1,0,1,0
B23C22000310006,Abruzzo,Collaudo non concluso,ASILI NIDO,525737.99,0.0,1,1,1,0,1,1,1,0,1,0
B23C22000310006,Abruzzo,Collaudo non concluso,ASILI NIDO,22187.34,0.0,1,1,1,0,1,1,1,1,0,0
B23C22000310006,Abruzzo,Collaudo non concluso,ASILI NIDO,9929.39,9929.39,1,1,1,1,1,1,1,1,0,0
B23C22000310006,Abruzzo,Collaudo non concluso,ASILI NIDO,4100.0,4100.0,1,1,1,0,1,1,1,1,0,0
B23C22000310006,Abruzzo,Collaudo non concluso,ASILI NIDO,2080.0,0.0,1,1,1,0,1,1,1,1,0,0
B23C22000310006,Abruzzo,Collaudo non concluso,ASILI NIDO,2535.0,0.0,1,1,1,0,1,1,1,1,0,0
B23C24000420006,Lombardia,Collaudo non concluso,ASILI NIDO,67600.0,67600.0,1,1,1,1,1,1,1,1,0,0
B23C24000420006,Lombardia,Collaudo non concluso,ASILI NIDO,4000.0,4000.0,1,1,1,0,1,1,1,1,0,0
B23C24000420006,Lombardia,Collaudo non concluso,ASILI NIDO,347000.0,302454.23,1,1,1,0,1,1,1,0,1,0
B24E21001560004,Lombardia,Collaudo non concluso,ASILI NIDO,44137.2,44137.2,1,1,1,1,0,1,0,0,0,0
B24E21001560004,Lombardia,Collaudo non concluso,ASILI NIDO,350000.0,0.0,1,1,1,1,1,1,1,0,1,0
B24E21001560004,Lombardia,Collaudo non concluso,ASILI NIDO,16005.0,16005.0,1,1,1,1,1,1,1,1,0,0
B24E21001560004,Lombardia,Collaudo non concluso,ASILI NIDO,1700.0,1700.0,1,1,1,0,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,3000.0,3000.0,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,1100.0,1100.0,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,2000.0,0.0,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,30600.0,30600.0,1,1,1,1,1,1,1,0,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,106600.0,106800.0,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,850.0,731.94,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,1300.0,1300.0,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,3500.0,3500.0,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,5000.0,5000.0,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,7120.0,7262.4,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,7000.0,7000.0,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,963480.49,963480.49,1,1,1,1,1,1,1,1,1,1
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,40702.95,40702.95,1,1,1,1,1,1,1,1,1,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,2080.0,2080.0,1,1,1,0,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,12191.8,12191.8,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,13368.0,13368.0,1,1,1,1,1,1,1,1,0,0
B25E22000040006,Abruzzo,Collaudo non concluso,ASILI NIDO,203.5,0.0,1,1,1,0,1,1,1,1,0,0
B25E22000130006,Piemonte,Collaudo non concluso,ASILI NIDO,86005.51,67944.35,1,1,1,1,1,1,1,1,0,0
B25E22000130006,Piemonte,Collaudo non concluso,ASILI NIDO,1060000.0,1060000.0,1,1,1,1,1,1,1,1,1,1
B25E22000130006,Piemonte,Collaudo non concluso,ASILI NIDO,85765.15,66896.82,1,1,1,1,1,1,1,1,0,0
B25E22000130006,Piemonte,Collaudo non concluso,ASILI NIDO,2918.27,2918.27,1,1,1,0,1,1,1,1,0,0
B25E22000140006,Campania,Esecuzione lavori,ASILI NIDO,6607.24,6550.26,1,1,1,1,1,1,1,1,0,0
B25E22000140006,Campania,Esecuzione lavori,ASILI NIDO,951519.35,843895.67,1,1,1,1,1,1,1,0,1,0
B25E22000140006,Campania,Esecuzione lavori,ASILI NIDO,60701.0,54631.26,1,1,1,1,1,1,1,1,0,0
B25E22000140006,Campania,Esecuzione lavori,ASILI NIDO,4998.0,4998.0,1,1,1,0,1,1,1,1,0,0
B25E22000140006,Campania,Esecuzione lavori,ASILI NIDO,2982.01,0.0,1,1,1,0,1,1,1,1,0,0
B25E22000140006,Campania,Esecuzione lavori,ASILI NIDO,24440.0,0.0,1,1,1,0,1,1,1,1,0,0
B25E22000140006,Campania,Esecuzione lavori,ASILI NIDO,4500.0,0.0,1,1,1,0,1,1,1,1,0,0
B25E22000140006,Campania,Esecuzione lavori,ASILI NIDO,2700.0,0.0,1,1,1,0,1,1,1,1,0,0
B25E22000150006,Campania,Collaudo non concluso,ASILI NIDO,6432.63,6377.16,1,1,1,1,1,1,1,1,0,0
B25E22000150006,Campania,Collaudo non concluso,ASILI NIDO,928073.99,882845.29,1,1,1,1,1,1,1,0,1,0
B25E22000150006,Campania,Collaudo non concluso,ASILI NIDO,56850.0,51165.0,1,1,1,1,1,1,1,1,0,0
B25E22000150006,Campania,Collaudo non concluso,ASILI NIDO,4998.0,4998.0,1,1,1,0,1,1,1,1,0,0
B25E22000150006,Campania,Collaudo non concluso,ASILI NIDO,2982.01,0.0,1,1,1,1,1,1,1,1,0,0
B25E22000150006,Campania,Collaudo non concluso,ASILI NIDO,2700.0,0.0,1,1,1,1,1,1,1,1,0,0
B25E22000150006,Campania,Collaudo non concluso,ASILI NIDO,4500.0,0.0,1,1,1,1,1,1,1,1,0,0
B25E22000760006,Calabria,Esecuzione lavori,ASILI NIDO,38573.54,36259.13,1,1,1,1,1,1,1,1,0,0
B25E22000760006,Calabria,Esecuzione lavori,ASILI NIDO,7256.19,7183.63,1,1,1,1,1,1,1,1,0,0
B25E22000760006,Calabria,Esecuzione lavori,ASILI NIDO,9994.21,9894.27,1,1,1,1,1,1,1,1,1,0
B25E22000760006,Calabria,Esecuzione lavori,ASILI NIDO,1127500.0,0.0,1,1,1,0,1,1,1,0,1,0
B25E22000760006,Calabria,Esecuzione lavori,ASILI NIDO,17013.06,0.0,1,1,1,0,1,1,1,1,0,0
B25E22000760006,Calabria,Esecuzione lavori,ASILI NIDO,9000.0,9000.0,1,1,1,1,1,1,1,1,0,0
B25E22000760006,Calabria,Esecuzione lavori,ASILI NIDO,9884.1,9884.1,1,1,1,1,1,1,1,1,0,0
B25E22000760006,Calabria,Esecuzione lavori,ASILI NIDO,24132.5,24132.5,1,1,1,1,1,1,1,1,0,0
